Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,93.75mV
Average              :,-184.8mV
Vertical pos         :,1.000000mV
Probe attenuation    :,1X
Voltage per ADC value:,0.312500mV
Time interval        :,4.00000uS

index,CH1_Voltage(mV)
1,-142.500000
2,-142.500000
3,-142.500000
4,-142.500000
5,-142.500000
6,-142.500000
7,-142.500000
8,-142.500000
9,-48.750000
10,-142.500000
11,-142.500000
12,-142.500000
13,-142.500000
14,-142.500000
15,-142.500000
16,-142.500000
17,-142.500000
18,-142.500000
19,-142.500000
20,-142.500000
21,-142.500000
22,-142.500000
23,-142.500000
24,-142.500000
25,-142.500000
26,-142.500000
27,-142.500000
28,-142.500000
29,-142.500000
30,-142.500000
31,-142.500000
32,-142.500000
33,-142.500000
34,-142.500000
35,-142.500000
36,-142.500000
37,-142.500000
38,-142.500000
39,-142.500000
40,-142.500000
41,-142.500000
42,-142.500000
43,-142.500000
44,-142.500000
45,-142.500000
46,-142.500000
47,-142.500000
48,-142.500000
49,-142.500000
50,-142.500000
51,-142.500000
52,-142.500000
53,-142.500000
54,-142.500000
55,-142.500000
56,-142.500000
57,-142.500000
58,-142.500000
59,-142.500000
60,-142.500000
61,-142.500000
62,-142.500000
63,-142.500000
64,-142.500000
65,-142.500000
66,-142.500000
67,-142.500000
68,-142.500000
69,-142.500000
70,-142.500000
71,-142.500000
72,-142.500000
73,-142.500000
74,-142.500000
75,-142.500000
76,-142.500000
77,-142.500000
78,-142.500000
79,-142.500000
80,-142.500000
81,-142.500000
82,-142.500000
83,-142.500000
84,-142.500000
85,-142.500000
86,-142.500000
87,-142.500000
88,-142.500000
89,-142.500000
90,-142.500000
91,-142.500000
92,-142.500000
93,-142.500000
94,-142.500000
95,-142.500000
96,-142.500000
97,-142.500000
98,-142.500000
99,-142.500000
100,-142.500000
101,-142.500000
102,-142.500000
103,-142.500000
104,-142.500000
105,-142.500000
106,-142.500000
107,-142.500000
108,-142.500000
109,-142.500000
110,-142.500000
111,-142.500000
112,-142.500000
113,-142.500000
114,-142.500000
115,-142.500000
116,-142.500000
117,-142.500000
118,-142.500000
119,-142.500000
120,-142.500000
121,-142.500000
122,-142.500000
123,-142.500000
124,-142.500000
125,-142.500000
126,-142.500000
127,-142.500000
128,-142.500000
129,-142.500000
130,-142.500000
131,-142.500000
132,-142.500000
133,-142.500000
134,-142.500000
135,-142.500000
136,-142.500000
137,-142.500000
138,-142.500000
139,-142.500000
140,-142.500000
141,-142.500000
142,-142.500000
143,-142.500000
144,-142.500000
145,-142.500000
146,-142.500000
147,-142.500000
148,-142.500000
149,-142.500000
150,-142.500000
151,-142.500000
152,-142.500000
153,-142.500000
154,-142.500000
155,-142.500000
156,-142.500000
157,-142.500000
158,-142.500000
159,-142.500000
160,-142.500000
161,-142.500000
162,-142.500000
163,-142.500000
164,-142.500000
165,-142.500000
166,-142.500000
167,-142.500000
168,-142.500000
169,-142.500000
170,-142.500000
171,-142.500000
172,-142.500000
173,-142.500000
174,-142.500000
175,-142.500000
176,-142.500000
177,-142.500000
178,-142.500000
179,-142.500000
180,-142.500000
181,-142.500000
182,-142.500000
183,-142.500000
184,-142.500000
185,-142.500000
186,-142.500000
187,-142.500000
188,-142.500000
189,-142.500000
190,-142.500000
191,-142.500000
192,-142.500000
193,-142.500000
194,-142.500000
195,-142.500000
196,-142.500000
197,-142.500000
198,-142.500000
199,-142.500000
200,-142.500000
201,-142.500000
202,-142.500000
203,-142.500000
204,-142.500000
205,-142.500000
206,-142.500000
207,-142.500000
208,-142.500000
209,-142.500000
210,-142.500000
211,-142.500000
212,-142.500000
213,-142.500000
214,-142.500000
215,-142.500000
216,-142.500000
217,-142.500000
218,-142.500000
219,-142.500000
220,-142.500000
221,-142.500000
222,-142.500000
223,-142.500000
224,-142.500000
225,-142.500000
226,-142.500000
227,-142.500000
228,-142.500000
229,-142.500000
230,-142.500000
231,-142.500000
232,-142.500000
233,-142.500000
234,-142.500000
235,-142.500000
236,-142.500000
237,-142.500000
238,-142.500000
239,-142.500000
240,-142.500000
241,-142.500000
242,-142.500000
243,-142.500000
244,-142.500000
245,-142.500000
246,-142.500000
247,-142.500000
248,-142.500000
249,-142.500000
250,-142.500000
251,-142.500000
252,-142.500000
253,-142.500000
254,-142.500000
255,-142.500000
256,-142.500000
257,-142.500000
258,-142.500000
259,-142.500000
260,-142.500000
261,-142.500000
262,-142.500000
263,-142.500000
264,-142.500000
265,-142.500000
266,-142.500000
267,-142.500000
268,-142.500000
269,-142.500000
270,-142.500000
271,-142.500000
272,-142.500000
273,-142.500000
274,-142.500000
275,-142.500000
276,-142.500000
277,-142.500000
278,-142.500000
279,-142.500000
280,-142.500000
281,-142.500000
282,-142.500000
283,-142.500000
284,-142.500000
285,-142.500000
286,-142.500000
287,-142.500000
288,-142.500000
289,-142.500000
290,-142.500000
291,-142.500000
292,-142.500000
293,-142.500000
294,-142.500000
295,-142.500000
296,-142.500000
297,-142.500000
298,-142.500000
299,-142.500000
300,-142.500000
301,-142.500000
302,-142.500000
303,-142.500000
304,-142.500000
305,-142.500000
306,-142.500000
307,-142.500000
308,-142.500000
309,-142.500000
310,-142.500000
311,-142.500000
312,-142.500000
313,-142.500000
314,-142.500000
315,-142.500000
316,-142.500000
317,-142.500000
318,-142.500000
319,-142.500000
320,-142.500000
321,-142.500000
322,-142.500000
323,-142.500000
324,-142.500000
325,-142.500000
326,-142.500000
327,-142.500000
328,-142.500000
329,-142.500000
330,-142.500000
331,-142.500000
332,-142.500000
333,-142.500000
334,-142.500000
335,-142.500000
336,-142.500000
337,-142.500000
338,-142.500000
339,-142.500000
340,-142.500000
341,-142.500000
342,-142.500000
343,-142.500000
344,-142.500000
345,-142.500000
346,-142.500000
347,-142.500000
348,-142.500000
349,-142.500000
350,-142.500000
351,-142.500000
352,-142.500000
353,-142.500000
354,-142.500000
355,-142.500000
356,-142.500000
357,-142.500000
358,-142.500000
359,-142.500000
360,-142.500000
361,-142.500000
362,-142.500000
363,-142.500000
364,-142.500000
365,-142.500000
366,-142.500000
367,-142.500000
368,-142.500000
369,-142.500000
370,-142.500000
371,-142.500000
372,-142.500000
373,-142.500000
374,-142.500000
375,-142.500000
376,-142.500000
377,-142.500000
378,-142.500000
379,-142.500000
380,-142.500000
381,-142.500000
382,-142.500000
383,-142.500000
384,-142.500000
385,-142.500000
386,-142.500000
387,-142.500000
388,-142.500000
389,-142.500000
390,-142.500000
391,-142.500000
392,-142.500000
393,-142.500000
394,-142.500000
395,-142.500000
396,-142.500000
397,-142.500000
398,-142.500000
399,-142.500000
400,-142.500000
401,-142.500000
402,-142.500000
403,-142.500000
404,-142.500000
405,-142.500000
406,-142.500000
407,-142.500000
408,-142.500000
409,-142.500000
410,-142.500000
411,-142.500000
412,-142.500000
413,-142.500000
414,-142.500000
415,-142.500000
416,-142.500000
417,-142.500000
418,-48.750000
419,-142.500000
420,-142.500000
421,-142.500000
422,-142.500000
423,-142.500000
424,-142.500000
425,-142.500000
426,-142.500000
427,-142.500000
428,-142.500000
429,-142.500000
430,-142.500000
431,-142.500000
432,-142.500000
433,-142.500000
434,-142.500000
435,-142.500000
436,-142.500000
437,-142.500000
438,-142.500000
439,-142.500000
440,-142.500000
441,-142.500000
442,-142.500000
443,-142.500000
444,-142.500000
445,-142.500000
446,-142.500000
447,-142.500000
448,-142.500000
449,-142.500000
450,-142.500000
451,-142.500000
452,-142.500000
453,-142.500000
454,-142.500000
455,-142.500000
456,-142.500000
457,-142.500000
458,-142.500000
459,-142.500000
460,-142.500000
461,-142.500000
462,-142.500000
463,-142.500000
464,-142.500000
465,-142.500000
466,-142.500000
467,-142.500000
468,-142.500000
469,-142.500000
470,-142.500000
471,-142.500000
472,-142.500000
473,-142.500000
474,-142.500000
475,-142.500000
476,-142.500000
477,-142.500000
478,-142.500000
479,-142.500000
480,-142.500000
481,-142.500000
482,-142.500000
483,-142.500000
484,-142.500000
485,-142.500000
486,-142.500000
487,-142.500000
488,-142.500000
489,-142.500000
490,-142.500000
491,-142.500000
492,-142.500000
493,-142.500000
494,-142.500000
495,-142.500000
496,-142.500000
497,-142.500000
498,-142.500000
499,-142.500000
500,-142.500000
501,-142.500000
502,-142.500000
503,-142.500000
504,-142.500000
505,-142.500000
506,-142.500000
507,-142.500000
508,-142.500000
509,-142.500000
510,-142.500000
511,-142.500000
512,-142.500000
513,-142.500000
514,-142.500000
515,-142.500000
516,-142.500000
517,-142.500000
518,-142.500000
519,-142.500000
520,-142.500000
521,-142.500000
522,-142.500000
523,-142.500000
524,-142.500000
525,-142.500000
526,-142.500000
527,-142.500000
528,-142.500000
529,-142.500000
530,-142.500000
531,-142.500000
532,-142.500000
533,-142.500000
534,-142.500000
535,-142.500000
536,-142.500000
537,-142.500000
538,-142.500000
539,-142.500000
540,-142.500000
541,-142.500000
542,-142.500000
543,-142.500000
544,-142.500000
545,-142.500000
546,-142.500000
547,-142.500000
548,-142.500000
549,-142.500000
550,-142.500000
551,-142.500000
552,-142.500000
553,-142.500000
554,-142.500000
555,-142.500000
556,-142.500000
557,-142.500000
558,-142.500000
559,-142.500000
560,-142.500000
561,-142.500000
562,-142.500000
563,-142.500000
564,-142.500000
565,-142.500000
566,-142.500000
567,-142.500000
568,-142.500000
569,-142.500000
