Channel              :,CH1,CH2
Frequency            :,  ?,  ?
Period               :,  ?,  ?
PK-PK                :,11.33V,4.709V
Average              :,4.670V,-22.89mV
Vertical pos         :,1.000000mV,1.000000mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,0.312500mV,0.312500mV
Time interval        :,0.00400uS,0.00400uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,7075.0000001,-60.000000
2,7075.0000002,-60.000000
3,6978.7500003,-60.000000
4,7075.0000004,-60.000000
5,6978.7500005,36.250000
6,7075.0000006,36.250000
7,6978.7500007,-60.000000
8,6978.7500008,-60.000000
9,6978.7500009,-60.000000
10,6978.75000010,36.250000
11,6978.75000011,36.250000
12,6978.75000012,-60.000000
13,7075.00000013,-60.000000
14,7075.00000014,-60.000000
15,7075.00000015,36.250000
16,6978.75000016,-60.000000
17,7075.00000017,-60.000000
18,7075.00000018,-60.000000
19,6978.75000019,-60.000000
20,6978.75000020,-60.000000
21,6978.75000021,36.250000
22,7075.00000022,-60.000000
23,7075.00000023,-60.000000
24,7075.00000024,-60.000000
25,6978.75000025,-60.000000
26,7075.00000026,-60.000000
27,6978.75000027,-60.000000
28,6978.75000028,-60.000000
29,6978.75000029,-60.000000
30,7075.00000030,36.250000
31,7075.00000031,-60.000000
32,6978.75000032,-60.000000
33,6978.75000033,36.250000
34,7075.00000034,-60.000000
35,7075.00000035,-60.000000
36,7075.00000036,-60.000000
37,6978.75000037,-60.000000
38,6978.75000038,-60.000000
39,6978.75000039,-60.000000
40,7075.00000040,-60.000000
41,7075.00000041,-60.000000
42,7075.00000042,-60.000000
43,6978.75000043,-60.000000
44,7075.00000044,36.250000
45,7075.00000045,36.250000
46,7075.00000046,-60.000000
47,6978.75000047,-60.000000
48,7075.00000048,-60.000000
49,6978.75000049,-60.000000
50,7075.00000050,-60.000000
51,6978.75000051,-60.000000
52,6978.75000052,-60.000000
53,6978.75000053,-60.000000
54,6978.75000054,-60.000000
55,7075.00000055,-60.000000
56,6978.75000056,-60.000000
57,7075.00000057,-60.000000
58,7075.00000058,-60.000000
59,7075.00000059,-60.000000
60,6978.75000060,-60.000000
61,6978.75000061,-60.000000
62,7075.00000062,36.250000
63,6978.75000063,-60.000000
64,6978.75000064,-60.000000
65,7075.00000065,-60.000000
66,6978.75000066,-60.000000
67,7075.00000067,-60.000000
68,7075.00000068,36.250000
69,7075.00000069,-60.000000
70,6978.75000070,36.250000
71,7075.00000071,-60.000000
72,7075.00000072,-60.000000
73,7075.00000073,-60.000000
74,6978.75000074,-60.000000
75,7075.00000075,-60.000000
76,7075.00000076,36.250000
77,6978.75000077,36.250000
78,7075.00000078,-60.000000
79,7075.00000079,-60.000000
80,6978.75000080,-60.000000
81,7075.00000081,-60.000000
82,6978.75000082,-60.000000
83,6978.75000083,-60.000000
84,6978.75000084,36.250000
85,7075.00000085,-60.000000
86,6978.75000086,-60.000000
87,7075.00000087,36.250000
88,7075.00000088,36.250000
89,6978.75000089,-60.000000
90,6978.75000090,-60.000000
91,6978.75000091,-60.000000
92,6978.75000092,36.250000
93,6978.75000093,36.250000
94,7075.00000094,-60.000000
95,7075.00000095,-60.000000
96,7075.00000096,-60.000000
97,7075.00000097,-60.000000
98,7075.00000098,-60.000000
99,7075.00000099,-60.000000
100,6978.750000100,-60.000000
101,6978.750000101,-60.000000
102,6978.750000102,-60.000000
103,6978.750000103,-60.000000
104,6978.750000104,-60.000000
105,7075.000000105,-60.000000
106,7075.000000106,36.250000
107,6978.750000107,-60.000000
108,7075.000000108,36.250000
109,6978.750000109,-60.000000
110,7075.000000110,-60.000000
111,7075.000000111,36.250000
112,7075.000000112,-60.000000
113,7075.000000113,-60.000000
114,7075.000000114,-60.000000
115,6978.750000115,-60.000000
116,6978.750000116,-60.000000
117,6978.750000117,-60.000000
118,7075.000000118,-60.000000
119,6978.750000119,36.250000
120,6978.750000120,36.250000
121,6978.750000121,-60.000000
122,6978.750000122,-60.000000
123,6978.750000123,36.250000
124,7075.000000124,-60.000000
125,6978.750000125,36.250000
126,7075.000000126,-60.000000
127,7075.000000127,-60.000000
128,7075.000000128,-60.000000
129,6978.750000129,-60.000000
130,6978.750000130,-60.000000
131,6978.750000131,-60.000000
132,7075.000000132,-60.000000
133,6978.750000133,-60.000000
134,7075.000000134,-60.000000
135,6978.750000135,-60.000000
136,7075.000000136,36.250000
137,6978.750000137,-60.000000
138,6978.750000138,36.250000
139,6978.750000139,36.250000
140,6978.750000140,-60.000000
141,6978.750000141,-60.000000
142,6978.750000142,-60.000000
143,7075.000000143,-60.000000
144,6978.750000144,-60.000000
145,7075.000000145,-60.000000
146,6978.750000146,-60.000000
147,6978.750000147,-60.000000
148,6978.750000148,-60.000000
149,7075.000000149,-60.000000
150,6978.750000150,-60.000000
151,6978.750000151,36.250000
152,7075.000000152,36.250000
153,7075.000000153,-60.000000
154,6978.750000154,36.250000
155,6978.750000155,-60.000000
156,7075.000000156,-60.000000
157,6978.750000157,-60.000000
158,6978.750000158,36.250000
159,7075.000000159,36.250000
160,7075.000000160,-60.000000
161,6978.750000161,36.250000
162,7075.000000162,-60.000000
163,7075.000000163,-60.000000
164,6978.750000164,36.250000
165,6978.750000165,36.250000
166,6978.750000166,-60.000000
167,7075.000000167,-60.000000
168,6978.750000168,36.250000
169,6978.750000169,-60.000000
170,7075.000000170,-60.000000
171,7075.000000171,-60.000000
172,7075.000000172,36.250000
173,6978.750000173,-60.000000
174,6978.750000174,36.250000
175,6978.750000175,-60.000000
176,6978.750000176,-60.000000
177,6978.750000177,36.250000
178,7075.000000178,36.250000
179,7075.000000179,-60.000000
180,7075.000000180,-60.000000
181,6978.750000181,36.250000
182,7075.000000182,-60.000000
183,6978.750000183,-60.000000
184,7075.000000184,36.250000
185,6978.750000185,-60.000000
186,6978.750000186,-60.000000
187,6978.750000187,-60.000000
188,7075.000000188,-60.000000
189,6978.750000189,36.250000
190,7075.000000190,-60.000000
191,7075.000000191,-60.000000
192,7075.000000192,-60.000000
193,6978.750000193,-60.000000
194,6978.750000194,-60.000000
195,6978.750000195,36.250000
196,6978.750000196,36.250000
197,6978.750000197,-60.000000
198,6978.750000198,-60.000000
199,6978.750000199,-60.000000
200,7075.000000200,-60.000000
201,6978.750000201,-60.000000
202,7075.000000202,-60.000000
203,7075.000000203,-60.000000
204,6978.750000204,-60.000000
205,7075.000000205,-60.000000
206,7075.000000206,-60.000000
207,6978.750000207,-60.000000
208,6978.750000208,-60.000000
209,6978.750000209,-60.000000
210,6978.750000210,-60.000000
211,6978.750000211,-60.000000
212,6978.750000212,-60.000000
213,7075.000000213,-60.000000
214,7075.000000214,36.250000
215,6978.750000215,-60.000000
216,7075.000000216,-60.000000
217,7075.000000217,-60.000000
218,6978.750000218,-60.000000
219,6978.750000219,-60.000000
220,6978.750000220,-60.000000
221,6978.750000221,-60.000000
222,7075.000000222,-60.000000
223,7075.000000223,-60.000000
224,6978.750000224,-60.000000
225,6978.750000225,-60.000000
226,7075.000000226,-60.000000
227,7075.000000227,-60.000000
228,6978.750000228,-60.000000
229,6978.750000229,36.250000
230,6978.750000230,-60.000000
231,6978.750000231,-60.000000
232,7075.000000232,-60.000000
233,7075.000000233,-60.000000
234,7075.000000234,-60.000000
235,6978.750000235,-60.000000
236,6978.750000236,-60.000000
237,6978.750000237,-60.000000
238,7075.000000238,-60.000000
239,6978.750000239,36.250000
240,6978.750000240,-60.000000
241,6978.750000241,36.250000
242,7075.000000242,36.250000
243,6978.750000243,-60.000000
244,6978.750000244,-60.000000
245,6978.750000245,-60.000000
246,6978.750000246,-60.000000
247,6978.750000247,-60.000000
248,7075.000000248,-60.000000
249,7075.000000249,-60.000000
250,7075.000000250,-60.000000
251,6978.750000251,-60.000000
252,7075.000000252,-60.000000
253,6978.750000253,-60.000000
254,6978.750000254,-60.000000
255,7075.000000255,-60.000000
256,6978.750000256,-60.000000
257,6978.750000257,-60.000000
258,6978.750000258,-60.000000
259,6978.750000259,-60.000000
260,7075.000000260,-60.000000
261,7075.000000261,36.250000
262,7075.000000262,-60.000000
263,6978.750000263,-60.000000
264,6978.750000264,-60.000000
265,6978.750000265,-60.000000
266,7075.000000266,-60.000000
267,6978.750000267,-60.000000
268,7075.000000268,-60.000000
269,6978.750000269,-60.000000
270,6978.750000270,-60.000000
271,6978.750000271,-60.000000
272,6978.750000272,-60.000000
273,6978.750000273,-60.000000
274,6978.750000274,-60.000000
275,6978.750000275,-60.000000
276,6978.750000276,-60.000000
277,7075.000000277,-60.000000
278,6978.750000278,-60.000000
279,7075.000000279,-60.000000
280,6978.750000280,-60.000000
281,6978.750000281,-60.000000
282,6978.750000282,-60.000000
283,7075.000000283,-60.000000
284,6978.750000284,-60.000000
285,6978.750000285,-60.000000
286,6978.750000286,-60.000000
287,6978.750000287,-60.000000
288,6978.750000288,-60.000000
289,6978.750000289,-60.000000
290,6978.750000290,-60.000000
291,7075.000000291,-60.000000
292,7075.000000292,-60.000000
293,6978.750000293,36.250000
294,6978.750000294,-60.000000
295,6978.750000295,-60.000000
296,7075.000000296,-60.000000
297,6978.750000297,-60.000000
298,7075.000000298,-60.000000
299,7075.000000299,-60.000000
300,7075.000000300,36.250000
301,7075.000000301,36.250000
302,6978.750000302,-60.000000
303,7075.000000303,36.250000
