Channel              :,CH1,CH2
Frequency            :,  ?,  ?
Period               :,  ?,  ?
PK-PK                :,1.550V,1.730V
Average              :,1.950V,-23.35mV
Vertical pos         :,1.000000mV,1.000000mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,0.312500mV,0.312500mV
Time interval        :,0.00200uS,0.00200uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,1941.2500001,-83.750000
2,1941.2500002,12.500000
3,1941.2500003,12.500000
4,1941.2500004,12.500000
5,1941.2500005,12.500000
6,1941.2500006,12.500000
7,1941.2500007,-83.750000
8,1941.2500008,-83.750000
9,1941.2500009,12.500000
10,1941.25000010,12.500000
11,1941.25000011,-83.750000
12,1941.25000012,12.500000
13,1941.25000013,12.500000
14,1941.25000014,12.500000
15,1941.25000015,12.500000
16,1941.25000016,12.500000
17,1941.25000017,-83.750000
18,1941.25000018,12.500000
19,1941.25000019,-83.750000
20,1941.25000020,12.500000
21,1941.25000021,12.500000
22,1941.25000022,12.500000
23,1941.25000023,12.500000
24,1941.25000024,12.500000
25,1941.25000025,12.500000
26,1941.25000026,12.500000
27,1941.25000027,-83.750000
28,1941.25000028,-83.750000
29,1941.25000029,12.500000
30,1941.25000030,-83.750000
31,1941.25000031,-83.750000
32,1941.25000032,-83.750000
33,1941.25000033,12.500000
34,1941.25000034,12.500000
35,1941.25000035,-83.750000
36,1941.25000036,12.500000
37,1941.25000037,12.500000
38,1941.25000038,12.500000
39,1941.25000039,12.500000
40,1941.25000040,12.500000
41,1941.25000041,12.500000
42,1941.25000042,-83.750000
43,1941.25000043,12.500000
44,1941.25000044,12.500000
45,1941.25000045,12.500000
46,1941.25000046,12.500000
47,1941.25000047,-83.750000
48,1941.25000048,12.500000
49,1941.25000049,-83.750000
50,1941.25000050,12.500000
51,1941.25000051,12.500000
52,1941.25000052,12.500000
53,1941.25000053,12.500000
54,1941.25000054,12.500000
55,1941.25000055,12.500000
56,1941.25000056,12.500000
57,1941.25000057,12.500000
58,1941.25000058,12.500000
59,1941.25000059,-83.750000
60,1941.25000060,12.500000
61,1941.25000061,-83.750000
62,1941.25000062,12.500000
63,1941.25000063,-83.750000
64,1941.25000064,12.500000
65,1941.25000065,12.500000
66,1941.25000066,12.500000
67,1941.25000067,12.500000
68,1941.25000068,12.500000
69,2037.50000069,12.500000
70,1941.25000070,-83.750000
71,1941.25000071,12.500000
72,1941.25000072,12.500000
73,1941.25000073,-83.750000
74,2037.50000074,12.500000
75,1941.25000075,12.500000
76,1941.25000076,12.500000
77,1941.25000077,12.500000
78,1941.25000078,12.500000
79,1941.25000079,-83.750000
80,1941.25000080,12.500000
81,1941.25000081,-83.750000
82,1941.25000082,12.500000
83,1941.25000083,-83.750000
84,1941.25000084,12.500000
85,1941.25000085,12.500000
86,1941.25000086,12.500000
87,1941.25000087,-83.750000
88,1941.25000088,12.500000
89,1941.25000089,12.500000
90,1941.25000090,12.500000
91,1941.25000091,12.500000
92,1941.25000092,12.500000
93,2037.50000093,12.500000
94,1941.25000094,12.500000
95,1941.25000095,12.500000
96,1941.25000096,12.500000
97,2037.50000097,12.500000
98,1941.25000098,12.500000
99,1941.25000099,-83.750000
100,1941.250000100,12.500000
101,1941.250000101,12.500000
102,1941.250000102,12.500000
103,1941.250000103,12.500000
104,1941.250000104,-83.750000
105,1941.250000105,12.500000
106,1941.250000106,12.500000
107,1941.250000107,12.500000
108,1941.250000108,12.500000
109,1941.250000109,-83.750000
110,1941.250000110,12.500000
111,1941.250000111,12.500000
112,1941.250000112,-83.750000
113,1941.250000113,12.500000
114,1941.250000114,12.500000
115,1941.250000115,12.500000
116,1941.250000116,12.500000
117,1941.250000117,12.500000
118,1941.250000118,12.500000
119,1941.250000119,-83.750000
120,1941.250000120,12.500000
121,1941.250000121,-83.750000
122,1941.250000122,12.500000
123,1941.250000123,-83.750000
124,1941.250000124,12.500000
125,1941.250000125,12.500000
126,1941.250000126,12.500000
127,1941.250000127,12.500000
128,1941.250000128,12.500000
129,2037.500000129,12.500000
130,1941.250000130,12.500000
131,1941.250000131,12.500000
132,1941.250000132,12.500000
133,1941.250000133,12.500000
134,1941.250000134,12.500000
135,1941.250000135,12.500000
136,1941.250000136,-83.750000
137,1941.250000137,12.500000
138,1941.250000138,12.500000
139,1941.250000139,12.500000
140,1941.250000140,12.500000
141,1941.250000141,12.500000
142,1941.250000142,12.500000
143,1941.250000143,-83.750000
144,1941.250000144,12.500000
145,1941.250000145,12.500000
146,1941.250000146,12.500000
147,1941.250000147,12.500000
148,1941.250000148,12.500000
149,1941.250000149,12.500000
150,1941.250000150,12.500000
151,1941.250000151,12.500000
152,1941.250000152,-83.750000
153,1941.250000153,-83.750000
154,1941.250000154,12.500000
155,1941.250000155,-83.750000
156,1941.250000156,12.500000
157,1941.250000157,-83.750000
158,1941.250000158,12.500000
159,1941.250000159,-83.750000
160,1941.250000160,12.500000
161,1941.250000161,-83.750000
162,1941.250000162,12.500000
163,1941.250000163,-83.750000
164,1941.250000164,12.500000
165,1941.250000165,-83.750000
166,1941.250000166,-83.750000
167,1941.250000167,12.500000
168,1941.250000168,12.500000
169,1941.250000169,12.500000
170,1941.250000170,12.500000
171,1941.250000171,12.500000
172,1941.250000172,12.500000
173,1941.250000173,12.500000
174,1941.250000174,12.500000
175,1941.250000175,-83.750000
176,1941.250000176,12.500000
177,1941.250000177,12.500000
178,2037.500000178,12.500000
179,1941.250000179,-83.750000
180,1941.250000180,12.500000
181,1941.250000181,12.500000
182,1941.250000182,12.500000
183,2037.500000183,12.500000
184,1941.250000184,12.500000
185,1941.250000185,12.500000
186,2037.500000186,12.500000
187,1941.250000187,-83.750000
188,1941.250000188,12.500000
189,1941.250000189,12.500000
190,1941.250000190,12.500000
191,1941.250000191,12.500000
192,1941.250000192,12.500000
193,1941.250000193,12.500000
194,1941.250000194,-83.750000
195,2037.500000195,-83.750000
196,1941.250000196,12.500000
197,1941.250000197,12.500000
198,1941.250000198,12.500000
199,1941.250000199,-83.750000
200,1941.250000200,12.500000
201,1941.250000201,12.500000
202,1941.250000202,12.500000
203,1941.250000203,12.500000
204,1941.250000204,-83.750000
205,1941.250000205,12.500000
206,1941.250000206,12.500000
207,1941.250000207,12.500000
208,1941.250000208,12.500000
209,1941.250000209,-83.750000
210,1941.250000210,12.500000
211,2037.500000211,-83.750000
212,1941.250000212,12.500000
213,1941.250000213,12.500000
214,1941.250000214,12.500000
215,1941.250000215,-83.750000
216,1941.250000216,12.500000
217,1941.250000217,12.500000
218,1941.250000218,12.500000
219,1941.250000219,12.500000
220,1941.250000220,12.500000
221,1941.250000221,12.500000
222,1941.250000222,12.500000
223,1941.250000223,12.500000
224,1941.250000224,12.500000
225,1941.250000225,12.500000
226,1941.250000226,12.500000
227,1941.250000227,-83.750000
228,1941.250000228,12.500000
229,1941.250000229,12.500000
230,1941.250000230,-83.750000
231,1941.250000231,12.500000
232,1941.250000232,12.500000
233,1941.250000233,12.500000
234,2037.500000234,12.500000
235,1941.250000235,12.500000
236,1941.250000236,-83.750000
237,1941.250000237,12.500000
238,1941.250000238,-83.750000
239,1941.250000239,12.500000
240,1941.250000240,12.500000
241,1941.250000241,12.500000
242,1941.250000242,12.500000
243,1941.250000243,-83.750000
244,1941.250000244,-83.750000
245,1941.250000245,12.500000
246,1941.250000246,12.500000
247,1941.250000247,-83.750000
248,1941.250000248,12.500000
249,1941.250000249,-83.750000
250,1941.250000250,12.500000
251,2037.500000251,12.500000
252,1941.250000252,-83.750000
253,1941.250000253,12.500000
254,1941.250000254,12.500000
255,1941.250000255,12.500000
256,1941.250000256,12.500000
257,1941.250000257,12.500000
258,1941.250000258,-83.750000
259,1941.250000259,12.500000
260,1941.250000260,12.500000
261,2037.500000261,12.500000
262,1941.250000262,-83.750000
263,1941.250000263,12.500000
264,1941.250000264,12.500000
265,1941.250000265,12.500000
266,1941.250000266,12.500000
267,1941.250000267,12.500000
268,1941.250000268,12.500000
269,1941.250000269,12.500000
270,1941.250000270,12.500000
271,1941.250000271,12.500000
272,1941.250000272,12.500000
273,1941.250000273,12.500000
274,1941.250000274,12.500000
275,1941.250000275,-83.750000
276,1941.250000276,12.500000
277,2037.500000277,12.500000
278,1941.250000278,-83.750000
279,1941.250000279,-83.750000
280,1941.250000280,12.500000
281,1941.250000281,12.500000
282,1941.250000282,12.500000
283,1941.250000283,12.500000
284,1941.250000284,12.500000
285,1941.250000285,12.500000
286,1941.250000286,12.500000
287,1941.250000287,12.500000
288,1941.250000288,12.500000
289,1941.250000289,12.500000
290,1941.250000290,12.500000
291,2037.500000291,-83.750000
292,1941.250000292,12.500000
293,2037.500000293,12.500000
294,1941.250000294,12.500000
295,1941.250000295,12.500000
296,1941.250000296,12.500000
297,1941.250000297,-83.750000
298,1941.250000298,12.500000
299,1941.250000299,12.500000
300,1941.250000300,12.500000
301,1941.250000301,12.500000
302,1941.250000302,12.500000
303,1941.250000303,-83.750000
304,1941.250000304,12.500000
305,1941.250000305,12.500000
306,1941.250000306,12.500000
307,1941.250000307,12.500000
308,1941.250000308,12.500000
309,1941.250000309,12.500000
310,1941.250000310,12.500000
311,1941.250000311,12.500000
312,1941.250000312,12.500000
313,1941.250000313,12.500000
314,1941.250000314,12.500000
315,1941.250000315,-83.750000
316,1941.250000316,12.500000
