Channel              :,CH1,CH2,CH3
Frequency            :,  ?,  ?,  ?
Period               :,  ?,  ?,  ?
PK-PK                :,5.771V,265.0mV,121.0mV
Average              :,2.464V,-36.12mV,1.309V
Vertical pos         :,1.000000mV,1.000000mV,1.000000mV
Probe attenuation    :,1X,1X,1X
Voltage per ADC value:,0.312500mV,0.156250mV,0.031250mV
Time interval        :,0.40000uS,0.40000uS,0.40000uS

index,CH1_Voltage(mV),CH2_Voltage(mV),CH3_Voltage(mV)
1,4943.7500001,10.0000001,1681.375000
2,4943.7500002,-38.1250002,1681.375000
3,4943.7500003,-38.1250003,1681.375000
4,4943.7500004,-38.1250004,1681.375000
5,4943.7500005,-38.1250005,1681.375000
6,4943.7500006,10.0000006,1671.750000
7,4943.7500007,10.0000007,1671.750000
8,4943.7500008,-38.1250008,1681.375000
9,4943.7500009,-38.1250009,1671.750000
10,4943.75000010,-38.12500010,1681.375000
11,4943.75000011,-38.12500011,1671.750000
12,4943.75000012,-38.12500012,1671.750000
13,4943.75000013,-38.12500013,1681.375000
14,4943.75000014,-38.12500014,1671.750000
15,4943.75000015,-38.12500015,1671.750000
16,4943.75000016,-38.12500016,1671.750000
17,4943.75000017,-38.12500017,1671.750000
18,4943.75000018,-38.12500018,1671.750000
19,4943.75000019,-38.12500019,1671.750000
20,4943.75000020,-38.12500020,1671.750000
21,4943.75000021,-38.12500021,1671.750000
22,4943.75000022,-38.12500022,1681.375000
23,4943.75000023,-38.12500023,1681.375000
24,4943.75000024,-38.12500024,1671.750000
25,4943.75000025,-38.12500025,1671.750000
26,4943.75000026,-38.12500026,1671.750000
27,4943.75000027,-38.12500027,1671.750000
28,4943.75000028,-38.12500028,1671.750000
29,4943.75000029,-38.12500029,1671.750000
30,4943.75000030,-38.12500030,1671.750000
31,4943.75000031,-38.12500031,1671.750000
32,4943.75000032,-38.12500032,1671.750000
33,4943.75000033,-38.12500033,1671.750000
34,4943.75000034,-38.12500034,1671.750000
35,4943.75000035,10.00000035,1671.750000
36,4943.75000036,-38.12500036,1671.750000
37,4943.75000037,-38.12500037,1671.750000
38,4943.75000038,-38.12500038,1671.750000
39,4943.75000039,-38.12500039,1671.750000
40,4943.75000040,-38.12500040,1671.750000
41,4943.75000041,10.00000041,1671.750000
42,4943.75000042,-38.12500042,1671.750000
43,4943.75000043,-38.12500043,1671.750000
44,4943.75000044,-38.12500044,1671.750000
45,4943.75000045,10.00000045,1671.750000
46,4943.75000046,-38.12500046,1671.750000
47,4943.75000047,-38.12500047,1671.750000
48,4943.75000048,-38.12500048,1671.750000
49,4943.75000049,-38.12500049,1671.750000
50,4943.75000050,-38.12500050,1671.750000
51,4943.75000051,-38.12500051,1662.125000
52,4943.75000052,-38.12500052,1671.750000
53,4943.75000053,-38.12500053,1671.750000
54,4943.75000054,-38.12500054,1671.750000
55,4943.75000055,-38.12500055,1671.750000
56,4943.75000056,-38.12500056,1662.125000
57,4943.75000057,-38.12500057,1662.125000
58,4943.75000058,-38.12500058,1671.750000
59,4943.75000059,-38.12500059,1662.125000
60,4943.75000060,-38.12500060,1662.125000
61,4943.75000061,-38.12500061,1671.750000
62,4943.75000062,-38.12500062,1662.125000
63,4943.75000063,-38.12500063,1671.750000
64,4943.75000064,10.00000064,1662.125000
65,4943.75000065,-38.12500065,1662.125000
66,4943.75000066,-38.12500066,1662.125000
67,4943.75000067,-38.12500067,1662.125000
68,4943.75000068,-38.12500068,1671.750000
69,4943.75000069,-38.12500069,1662.125000
70,4943.75000070,10.00000070,1662.125000
71,4943.75000071,-38.12500071,1662.125000
72,4943.75000072,-38.12500072,1662.125000
73,4943.75000073,10.00000073,1662.125000
74,4943.75000074,-38.12500074,1662.125000
75,4943.75000075,-38.12500075,1662.125000
76,4943.75000076,-38.12500076,1662.125000
77,4943.75000077,-38.12500077,1662.125000
78,4943.75000078,-38.12500078,1662.125000
79,4943.75000079,-38.12500079,1662.125000
80,4943.75000080,-38.12500080,1662.125000
81,4943.75000081,-38.12500081,1662.125000
82,4943.75000082,-38.12500082,1662.125000
83,4943.75000083,-38.12500083,1662.125000
84,4943.75000084,10.00000084,1662.125000
85,4943.75000085,-38.12500085,1662.125000
86,4943.75000086,-38.12500086,1662.125000
87,4943.75000087,-38.12500087,1662.125000
88,4943.75000088,-38.12500088,1662.125000
89,4943.75000089,-38.12500089,1662.125000
90,4943.75000090,-38.12500090,1662.125000
91,4943.75000091,-38.12500091,1662.125000
92,4943.75000092,-38.12500092,1662.125000
93,4943.75000093,10.00000093,1662.125000
94,4943.75000094,-38.12500094,1662.125000
95,4943.75000095,-38.12500095,1662.125000
96,4943.75000096,-38.12500096,1662.125000
97,4943.75000097,-38.12500097,1662.125000
98,4943.75000098,-38.12500098,1662.125000
99,4943.75000099,-38.12500099,1662.125000
100,4943.750000100,-38.125000100,1662.125000
101,4943.750000101,10.000000101,1662.125000
102,4943.750000102,-38.125000102,1662.125000
103,4943.750000103,-38.125000103,1652.500000
104,4943.750000104,-38.125000104,1662.125000
105,4943.750000105,-38.125000105,1652.500000
106,4943.750000106,-38.125000106,1662.125000
107,4943.750000107,-38.125000107,1662.125000
108,4943.750000108,-38.125000108,1652.500000
109,5041.250000109,-38.125000109,1652.500000
110,4943.750000110,10.000000110,1652.500000
111,4943.750000111,-38.125000111,1652.500000
112,4943.750000112,-38.125000112,1662.125000
113,5041.250000113,-38.125000113,1662.125000
114,4943.750000114,-38.125000114,1652.500000
115,4943.750000115,-38.125000115,1652.500000
116,4943.750000116,-38.125000116,1652.500000
117,4943.750000117,-38.125000117,1652.500000
118,4943.750000118,-38.125000118,1652.500000
119,4943.750000119,-38.125000119,1652.500000
120,5041.250000120,-38.125000120,1652.500000
121,5041.250000121,-38.125000121,1652.500000
122,4943.750000122,-38.125000122,1652.500000
123,4943.750000123,-38.125000123,1652.500000
124,4943.750000124,-38.125000124,1652.500000
125,4943.750000125,-38.125000125,1652.500000
126,4943.750000126,-38.125000126,1652.500000
127,4943.750000127,-38.125000127,1652.500000
128,4943.750000128,-38.125000128,1652.500000
129,4943.750000129,10.000000129,1652.500000
130,5041.250000130,10.000000130,1652.500000
131,4943.750000131,-38.125000131,1652.500000
132,4943.750000132,-38.125000132,1652.500000
133,4943.750000133,-38.125000133,1652.500000
134,4943.750000134,-38.125000134,1652.500000
135,4943.750000135,-38.125000135,1652.500000
136,4943.750000136,-38.125000136,1652.500000
137,4943.750000137,-38.125000137,1652.500000
138,4943.750000138,-38.125000138,1652.500000
139,4943.750000139,-38.125000139,1652.500000
140,4943.750000140,-38.125000140,1642.875000
141,4943.750000141,-38.125000141,1652.500000
142,4943.750000142,-38.125000142,1642.875000
143,4943.750000143,-38.125000143,1652.500000
144,4943.750000144,-38.125000144,1652.500000
145,4943.750000145,-38.125000145,1642.875000
146,4943.750000146,-38.125000146,1652.500000
147,4943.750000147,-38.125000147,1652.500000
148,4943.750000148,-38.125000148,1642.875000
149,4943.750000149,-38.125000149,1652.500000
150,4943.750000150,-38.125000150,1652.500000
151,4943.750000151,-38.125000151,1652.500000
152,4943.750000152,10.000000152,1642.875000
153,4943.750000153,-38.125000153,1652.500000
154,4943.750000154,-38.125000154,1642.875000
155,4943.750000155,-38.125000155,1642.875000
156,4943.750000156,-38.125000156,1652.500000
157,4943.750000157,-38.125000157,1652.500000
158,4943.750000158,-38.125000158,1642.875000
159,4943.750000159,-38.125000159,1642.875000
160,4943.750000160,-38.125000160,1642.875000
161,4943.750000161,10.000000161,1652.500000
162,4943.750000162,-38.125000162,1642.875000
163,4943.750000163,-38.125000163,1642.875000
164,4943.750000164,10.000000164,1642.875000
165,4943.750000165,-38.125000165,1642.875000
166,4943.750000166,-38.125000166,1642.875000
167,4943.750000167,-38.125000167,1642.875000
168,4943.750000168,-38.125000168,1642.875000
169,4943.750000169,-38.125000169,1642.875000
170,4943.750000170,10.000000170,1642.875000
171,4943.750000171,-38.125000171,1642.875000
172,4943.750000172,-38.125000172,1642.875000
173,4943.750000173,10.000000173,1642.875000
174,4943.750000174,-38.125000174,1642.875000
175,4943.750000175,-38.125000175,1642.875000
176,4943.750000176,-38.125000176,1642.875000
177,4943.750000177,-38.125000177,1642.875000
178,4943.750000178,-38.125000178,1642.875000
179,4943.750000179,-38.125000179,1642.875000
180,4943.750000180,-38.125000180,1642.875000
181,4943.750000181,-38.125000181,1642.875000
182,4943.750000182,-38.125000182,1642.875000
183,4943.750000183,-38.125000183,1642.875000
184,4943.750000184,-38.125000184,1642.875000
185,4943.750000185,-38.125000185,1642.875000
186,4943.750000186,-38.125000186,1642.875000
187,4943.750000187,-38.125000187,1642.875000
188,4943.750000188,-38.125000188,1642.875000
189,4943.750000189,-38.125000189,1642.875000
190,4943.750000190,-38.125000190,1642.875000
191,4943.750000191,-38.125000191,1642.875000
192,4943.750000192,-38.125000192,1642.875000
193,4943.750000193,-38.125000193,1642.875000
194,4943.750000194,-38.125000194,1633.250000
195,4943.750000195,-38.125000195,1642.875000
196,4943.750000196,-38.125000196,1642.875000
197,4943.750000197,-38.125000197,1642.875000
198,4943.750000198,-38.125000198,1642.875000
199,4943.750000199,-38.125000199,1633.250000
200,4943.750000200,-38.125000200,1633.250000
201,4943.750000201,-38.125000201,1642.875000
202,4943.750000202,-38.125000202,1633.250000
