Channel              :,CH1,CH2,CH3
Frequency            :,  ?,1.250MHz,  ?
Period               :,  ?,800.0ns,  ?
PK-PK                :,6.102V,1.727V,317.6mV
Average              :,4.610V,-25.02mV,1.210V
Vertical pos         :,1.000000mV,1.000000mV,1.000000mV
Probe attenuation    :,1X,1X,1X
Voltage per ADC value:,0.312500mV,0.156250mV,0.031250mV
Time interval        :,0.10000uS,0.10000uS,0.10000uS

index,CH1_Voltage(mV),CH2_Voltage(mV),CH3_Voltage(mV)
1,4943.7500001,-38.1250001,1310.000000
2,4943.7500002,10.0000002,1310.000000
3,4943.7500003,-38.1250003,1310.000000
4,4943.7500004,-38.1250004,1310.000000
5,5041.2500005,10.0000005,1310.000000
6,4943.7500006,10.0000006,1310.000000
7,4943.7500007,-38.1250007,1310.000000
8,4943.7500008,-38.1250008,1310.000000
9,4943.7500009,10.0000009,1310.000000
10,4943.75000010,-38.12500010,1310.000000
11,4943.75000011,-38.12500011,1310.000000
12,4943.75000012,-38.12500012,1310.000000
13,4943.75000013,10.00000013,1310.000000
14,4943.75000014,-38.12500014,1310.000000
15,4943.75000015,-38.12500015,1310.000000
16,4943.75000016,-38.12500016,1310.000000
17,4943.75000017,-38.12500017,1310.000000
18,4943.75000018,-38.12500018,1310.000000
19,4943.75000019,-38.12500019,1310.000000
20,4943.75000020,-38.12500020,1310.000000
21,4943.75000021,10.00000021,1310.000000
22,4943.75000022,10.00000022,1310.000000
23,4943.75000023,10.00000023,1310.000000
24,4943.75000024,-38.12500024,1310.000000
25,4943.75000025,-38.12500025,1310.000000
26,4943.75000026,-38.12500026,1310.000000
27,4943.75000027,-38.12500027,1310.000000
28,4943.75000028,10.00000028,1310.000000
29,4943.75000029,10.00000029,1310.000000
30,4943.75000030,-38.12500030,1310.000000
31,4943.75000031,-38.12500031,1310.000000
32,4943.75000032,-38.12500032,1310.000000
33,4943.75000033,10.00000033,1310.000000
34,4943.75000034,-38.12500034,1310.000000
35,4943.75000035,-38.12500035,1310.000000
36,4943.75000036,-38.12500036,1310.000000
37,4943.75000037,10.00000037,1310.000000
38,4943.75000038,-38.12500038,1310.000000
39,4943.75000039,-38.12500039,1310.000000
40,5041.25000040,10.00000040,1310.000000
41,4943.75000041,-38.12500041,1310.000000
42,4943.75000042,10.00000042,1310.000000
43,4943.75000043,-38.12500043,1310.000000
44,5041.25000044,-38.12500044,1310.000000
45,4943.75000045,10.00000045,1310.000000
46,4943.75000046,-38.12500046,1310.000000
47,4943.75000047,-38.12500047,1310.000000
48,4943.75000048,-38.12500048,1310.000000
49,4943.75000049,-38.12500049,1310.000000
50,5041.25000050,-38.12500050,1310.000000
51,4943.75000051,-38.12500051,1310.000000
52,4943.75000052,10.00000052,1310.000000
53,4943.75000053,-38.12500053,1310.000000
54,5041.25000054,-38.12500054,1310.000000
55,4943.75000055,-38.12500055,1310.000000
56,4943.75000056,-38.12500056,1310.000000
57,4943.75000057,10.00000057,1310.000000
58,4943.75000058,-38.12500058,1310.000000
59,4943.75000059,-38.12500059,1310.000000
