Channel              :,CH1,CH2,CH3
Frequency            :,  ?,  ?,  ?
Period               :,  ?,  ?,  ?
PK-PK                :,6.781V,4.016V?,695.3mV
Average              :,2.685V,-50.10mV?,702.7mV
Vertical pos         :,1.000000mV,1.000000mV,1.000000mV
Probe attenuation    :,1X,1X,1X
Voltage per ADC value:,0.312500mV,0.156250mV,0.031250mV
Time interval        :,0.00200uS,0.00200uS,0.00200uS

index,CH1_Voltage(mV),CH2_Voltage(mV),CH3_Voltage(mV)
1,5137.5000001,-38.1250001,283.500000
2,5041.2500002,-38.1250002,293.125000
3,5041.2500003,-38.1250003,293.125000
4,5041.2500004,-38.1250004,283.500000
5,5041.2500005,-38.1250005,293.125000
6,5041.2500006,10.0000006,293.125000
7,5041.2500007,-38.1250007,293.125000
8,5041.2500008,10.0000008,293.125000
9,5041.2500009,-38.1250009,293.125000
10,5041.25000010,10.00000010,293.125000
11,5041.25000011,-38.12500011,293.125000
12,5041.25000012,-38.12500012,293.125000
13,5041.25000013,-38.12500013,293.125000
14,5041.25000014,10.00000014,293.125000
15,5041.25000015,-38.12500015,293.125000
16,5041.25000016,-38.12500016,283.500000
17,5041.25000017,-38.12500017,293.125000
18,5041.25000018,10.00000018,293.125000
19,5041.25000019,-38.12500019,293.125000
20,5041.25000020,-38.12500020,293.125000
21,5041.25000021,10.00000021,293.125000
22,5041.25000022,-38.12500022,293.125000
23,5041.25000023,-38.12500023,293.125000
24,5041.25000024,-38.12500024,293.125000
25,5041.25000025,-38.12500025,293.125000
26,5041.25000026,-38.12500026,293.125000
27,5041.25000027,-38.12500027,293.125000
28,5041.25000028,-38.12500028,293.125000
29,5041.25000029,-38.12500029,293.125000
30,5041.25000030,-38.12500030,293.125000
31,5041.25000031,-38.12500031,293.125000
32,5041.25000032,-38.12500032,293.125000
33,5041.25000033,-38.12500033,293.125000
34,5041.25000034,-38.12500034,293.125000
35,5041.25000035,-38.12500035,293.125000
36,5041.25000036,-38.12500036,293.125000
37,5041.25000037,-38.12500037,293.125000
38,5041.25000038,-38.12500038,293.125000
39,5041.25000039,-38.12500039,293.125000
40,5041.25000040,-38.12500040,293.125000
41,5041.25000041,-38.12500041,283.500000
42,5137.50000042,10.00000042,293.125000
43,5041.25000043,-38.12500043,293.125000
44,5041.25000044,-38.12500044,293.125000
45,5041.25000045,-38.12500045,293.125000
46,5041.25000046,10.00000046,293.125000
47,5041.25000047,-38.12500047,293.125000
48,5041.25000048,-38.12500048,293.125000
49,5041.25000049,-38.12500049,293.125000
50,5041.25000050,10.00000050,293.125000
51,5041.25000051,-38.12500051,293.125000
52,5041.25000052,-38.12500052,293.125000
53,5041.25000053,-38.12500053,293.125000
54,5041.25000054,-38.12500054,293.125000
55,5041.25000055,-38.12500055,293.125000
56,5041.25000056,10.00000056,293.125000
57,5137.50000057,-38.12500057,293.125000
58,5041.25000058,10.00000058,293.125000
59,5041.25000059,-38.12500059,293.125000
60,5041.25000060,10.00000060,293.125000
61,5041.25000061,-38.12500061,293.125000
62,5041.25000062,-38.12500062,293.125000
63,5041.25000063,-38.12500063,283.500000
64,5041.25000064,-38.12500064,293.125000
65,5041.25000065,-38.12500065,293.125000
66,5041.25000066,-38.12500066,293.125000
67,5041.25000067,-38.12500067,293.125000
68,5041.25000068,-38.12500068,293.125000
69,5041.25000069,-38.12500069,293.125000
70,5041.25000070,-38.12500070,293.125000
71,5041.25000071,-38.12500071,293.125000
72,5041.25000072,-38.12500072,293.125000
73,5041.25000073,-38.12500073,283.500000
74,5041.25000074,-38.12500074,293.125000
75,5137.50000075,-38.12500075,293.125000
76,5041.25000076,-38.12500076,293.125000
77,5041.25000077,-38.12500077,293.125000
78,5041.25000078,-38.12500078,293.125000
79,5041.25000079,-38.12500079,283.500000
80,5041.25000080,-38.12500080,293.125000
81,5137.50000081,-38.12500081,293.125000
82,5041.25000082,-38.12500082,293.125000
83,5041.25000083,-38.12500083,293.125000
84,5041.25000084,10.00000084,293.125000
85,5041.25000085,-38.12500085,293.125000
86,5041.25000086,-38.12500086,293.125000
87,5041.25000087,-38.12500087,283.500000
88,5041.25000088,-38.12500088,293.125000
89,5041.25000089,-38.12500089,293.125000
90,5041.25000090,10.00000090,293.125000
91,5137.50000091,-38.12500091,293.125000
92,5041.25000092,-38.12500092,293.125000
93,5041.25000093,-38.12500093,293.125000
94,5041.25000094,10.00000094,293.125000
95,5041.25000095,-38.12500095,293.125000
96,5041.25000096,10.00000096,293.125000
97,5041.25000097,-38.12500097,293.125000
98,5041.25000098,-38.12500098,293.125000
99,5041.25000099,-38.12500099,293.125000
100,5041.250000100,-38.125000100,293.125000
101,5041.250000101,-38.125000101,293.125000
102,5041.250000102,-38.125000102,293.125000
103,5041.250000103,-38.125000103,283.500000
104,5041.250000104,10.000000104,293.125000
105,5041.250000105,-38.125000105,293.125000
106,5041.250000106,10.000000106,283.500000
107,5041.250000107,-38.125000107,293.125000
108,5041.250000108,-38.125000108,293.125000
109,5041.250000109,-38.125000109,293.125000
110,5041.250000110,10.000000110,293.125000
111,5041.250000111,-38.125000111,293.125000
112,5041.250000112,10.000000112,293.125000
113,5041.250000113,-38.125000113,293.125000
114,5041.250000114,-38.125000114,293.125000
115,5041.250000115,-38.125000115,293.125000
116,5041.250000116,-38.125000116,293.125000
117,5041.250000117,-38.125000117,293.125000
118,5041.250000118,-38.125000118,293.125000
119,5041.250000119,-38.125000119,293.125000
120,5041.250000120,-38.125000120,283.500000
121,5041.250000121,-38.125000121,293.125000
122,5041.250000122,-38.125000122,293.125000
123,5041.250000123,-38.125000123,293.125000
124,5041.250000124,-38.125000124,293.125000
125,5041.250000125,-38.125000125,293.125000
126,5041.250000126,-38.125000126,293.125000
127,5041.250000127,-38.125000127,283.500000
128,5041.250000128,-38.125000128,293.125000
129,5041.250000129,-38.125000129,293.125000
130,5041.250000130,10.000000130,293.125000
131,5041.250000131,-38.125000131,293.125000
132,5041.250000132,10.000000132,293.125000
133,5041.250000133,-38.125000133,283.500000
134,5041.250000134,-38.125000134,293.125000
135,5041.250000135,-38.125000135,283.500000
136,5041.250000136,-38.125000136,293.125000
137,5137.500000137,-38.125000137,293.125000
138,5041.250000138,-38.125000138,293.125000
139,5041.250000139,-38.125000139,283.500000
140,5041.250000140,-38.125000140,293.125000
141,5041.250000141,-38.125000141,283.500000
142,5041.250000142,10.000000142,293.125000
143,5041.250000143,-38.125000143,283.500000
144,5041.250000144,10.000000144,293.125000
145,5041.250000145,-38.125000145,293.125000
146,5041.250000146,-38.125000146,293.125000
147,5041.250000147,-38.125000147,293.125000
148,5041.250000148,10.000000148,293.125000
149,5041.250000149,-38.125000149,293.125000
150,5137.500000150,10.000000150,293.125000
151,5041.250000151,-38.125000151,293.125000
152,5041.250000152,-38.125000152,293.125000
153,5041.250000153,-38.125000153,293.125000
154,5041.250000154,10.000000154,293.125000
155,5041.250000155,-38.125000155,293.125000
156,5041.250000156,-38.125000156,293.125000
157,5041.250000157,-38.125000157,293.125000
158,5137.500000158,10.000000158,293.125000
159,5041.250000159,-38.125000159,293.125000
160,5041.250000160,-38.125000160,293.125000
161,5041.250000161,-38.125000161,293.125000
162,5041.250000162,-38.125000162,293.125000
163,5041.250000163,-38.125000163,293.125000
164,5041.250000164,-38.125000164,293.125000
165,5041.250000165,-38.125000165,293.125000
166,5041.250000166,-38.125000166,293.125000
167,5041.250000167,-38.125000167,293.125000
168,5041.250000168,10.000000168,293.125000
169,5041.250000169,-38.125000169,293.125000
170,5041.250000170,-38.125000170,293.125000
171,5041.250000171,-38.125000171,293.125000
172,5041.250000172,-38.125000172,293.125000
173,5137.500000173,-38.125000173,293.125000
174,5041.250000174,-38.125000174,293.125000
175,5041.250000175,-38.125000175,293.125000
176,5041.250000176,-38.125000176,293.125000
177,5041.250000177,-38.125000177,293.125000
178,5041.250000178,10.000000178,293.125000
179,5041.250000179,-38.125000179,293.125000
180,5041.250000180,-38.125000180,293.125000
181,5041.250000181,-38.125000181,293.125000
182,5041.250000182,10.000000182,293.125000
183,5041.250000183,-38.125000183,293.125000
184,5041.250000184,10.000000184,293.125000
185,5041.250000185,-38.125000185,283.500000
186,5041.250000186,-38.125000186,293.125000
187,5041.250000187,-38.125000187,293.125000
188,5041.250000188,-38.125000188,293.125000
189,5041.250000189,-38.125000189,283.500000
190,5041.250000190,-38.125000190,293.125000
191,5041.250000191,-38.125000191,283.500000
192,5041.250000192,10.000000192,293.125000
193,5041.250000193,-38.125000193,293.125000
194,5041.250000194,10.000000194,293.125000
195,5041.250000195,-38.125000195,293.125000
196,5041.250000196,-38.125000196,293.125000
197,5041.250000197,-38.125000197,293.125000
198,5041.250000198,10.000000198,293.125000
199,5041.250000199,-38.125000199,293.125000
200,5041.250000200,-38.125000200,293.125000
201,5041.250000201,-38.125000201,293.125000
202,5041.250000202,-38.125000202,293.125000
203,5041.250000203,-38.125000203,293.125000
204,5041.250000204,-38.125000204,293.125000
205,5041.250000205,-38.125000205,293.125000
206,5041.250000206,-38.125000206,293.125000
207,5041.250000207,-38.125000207,293.125000
208,5041.250000208,10.000000208,293.125000
209,5041.250000209,-38.125000209,293.125000
210,5041.250000210,10.000000210,293.125000
211,5041.250000211,-38.125000211,293.125000
212,5041.250000212,-38.125000212,293.125000
